ROOM No,NAME,MOVE IN DATE,TELEPHONE NUMBER,EMAIL,VOID DATE,FLOOR,LOCATION ON FLOOR,Entrance From House No,ROOM SIZE,NOTES ON ROOM ,key
1,,,,,,Basement,whole floor,separate entrance,,Self contained flat,bn21pg-1315
2,,,,,,Basement,Front,13,Double,,bn21pg-1315
3,,,,,,Basement,Rear,13,Double,,bn21pg-1315
4,,,,,,Basement,Front,separate entrance,Double,,bn21pg-1315
5,,,,,,Basement,Rear,separate entrance,Double,,bn21pg-1315
6,,,,,,Ground,Rear,15,Single,,bn21pg-1315
7,,,,,,Ground,Front,15,Single,,bn21pg-1315
8,,,,,,Ground,Front,13,Single,,bn21pg-1315
9,,,,,,Ground,Rear,14,Single,Separate Kitchen,bn21pg-1315
10,,,,,,Ground,Front,13,Double,,bn21pg-1315
11,,,,,,Ground,back,13,Double,,bn21pg-1315
12,,,,,,Ground,back,13,Double,,bn21pg-1315
13,,,,,,1st,front,13,Double,,bn21pg-1315
14,,,,,,1st,back,13,Double,separate bathroom,bn21pg-1315
15,,,,,,1st,front,13,Double,,bn21pg-1315
16,,,,,,1st,front,15,Double,,bn21pg-1315
17,,,,,,1st,back,15,Double,,bn21pg-1315
18,,,,,,2nd,front,15,Double,,bn21pg-1315
19,,,,,,2nd,back,15,Double,separate kitchen and bathroom,bn21pg-1315
20,,,,,,2nd,front,13,Double,,bn21pg-1315
21,,,,,,2nd,front,13,Double,,bn21pg-1315
22,,,,,,2nd,back,13,Double,separate bathroom,bn21pg-1315
23,,,,,,3rd,front,13,Double,,bn21pg-1315
24,,,,,,3rd,back,13,Double,separate bathroom,bn21pg-1315
25,,,,,,3rd,front,13,Double,,bn21pg-1315
26,,,,,,3rd,front,15,Double,,bn21pg-1315
27,,,,,,3rd,back,15,Double,separate kitchen and bathroom,bn21pg-1315
