ROOM No,NAME,MOVE IN DATE,,TELEPHONE NUMBER,EMAIL,VOID DATE,FLOOR,LOCATION ON FLOOR,ROOM SIZE,NOTES ON ROOM ,key
1,Pippa Jones,01/01/2016,,07462 549231,,,LGF,Front,SINGLE,"LARGE, SELF CONTAINED",bn21fa-35
2,Hayley Smith,02/01/2016,,07784 350343,,,LGF,Rear,SINGLE,SELF CONTAINED,bn21fa-35
3,Sue Phillips,03/01/2016,,07934 530934,,,LGF,Rear,DOUBLE,SELF CONTAINED,bn21fa-35
4,Clare Harrison,04/01/2016,,07935 530935,,,LGF,Rear,DOUBLE,SELF CONTAINED,bn21fa-35
5,John Jones,05/01/2016,,07936 530936,,,LGF,Front,DOUBLE,SELF CONTAINED,bn21fa-35
6,Gary Hughes,06/01/2016,,07937 530934,,,LGF,Rear,SINGLE,SELF CONTAINED,bn21fa-35
7,Sindy Pauper,07/01/2016,,07938 530934,,,LGF,Rear,SINGLE,SELF CONTAINED,bn21fa-35
8,Katie Harris,08/01/2016,,07938 530935,,,LGF,Front,DOUBLE,SELF CONTAINED,bn21fa-35
9,David Jones,09/01/2016,,07938 530936,,,LGF,Rear,DOUBLE,SELF CONTAINED,bn21fa-35
10,Henry Lords,10/01/2016,,07938 530937,,,GF,Rear,SINGLE,SELF CONTAINED,bn21fa-35
11,Sue Tinks,11/01/2016,,07938 530938,,,GF,Rear,SINGLE,SELF CONTAINED,bn21fa-35
12,Felicity Kinsella,12/01/2016,,07938 530939,,,GF,Front,SINGLE,SELF CONTAINED,bn21fa-35
13,Adam Sumner,13/01/2016,,07938 530910,,,GF,Front,SINGLE,SELF CONTAINED,bn21fa-35
14,Amy Lewis,14/01/2016,,07938 530911,,,GF,Rear,SINGLE,"NEXT TO OFFICE, SELF CONTAINED",bn21fa-35
15,Matt Smee,15/01/2016,,07938 530912,,,GF,Rear,SINGLE,SELF CONTAINED,bn21fa-35
16,Tony Cross,16/01/2016,,07938 530913,,,GF,Front,SINGLE,"NEXT TO OFFICE, SELF CONTAINED",bn21fa-35
17,Jess Crane,17/01/2016,,07938 530913,,,GF,Front,SINGLE,"SMALL, SELF CONTAINED",bn21fa-35
18,Michelle Daily,18/01/2016,,07938 530934,,,GF,Rear,SINGLE,"SMALL, SELF CONTAINED",bn21fa-35
19,Cecil Arty,19/01/2016,,07938 530934,,,GF,Rear,DOUBLE,SELF CONTAINED,bn21fa-35
20,Justin Prior,20/01/2016,,07938 530934,,,1st,Rear,SINGLE,"HALF LANDING, SHOWER AND LOO UP A FLIGHT OF STAIRS",bn21fa-35
21,Tara May,21/01/2016,,07938 530934,,,1st,Back,SINGLE,SELF CONTAINED,bn21fa-35
22,Msie Rose,22/01/2016,,07938 530934,,,1st,Front,DOUBLE,SELF CONTAINED,bn21fa-35
23,Kenny Stiles,23/01/2016,,07938 530934,,,1st,Front,SINGLE,SELF CONTAINED,bn21fa-35
24,Paul Baker,24/01/2016,,07938 530934,,,1st,Back,SINGLE,SELF CONTAINED,bn21fa-35
25,Scott Taylor,25/01/2016,,07938 530934,,,1st,Front,SINGLE,SELF CONTAINED,bn21fa-35
